customer_id,customer_name,gender,birth_date,age,country,signup_date,recency,frequency,monetary,R_score,F_score,M_score,rfm_score,segment
C0001,Customer_1,Female,9/7/1993,31,USA,8/7/2021,145,15,1448.54,1,2,2,122,Others
C0002,Customer_2,Female,1/3/1990,34,Canada,12/14/2021,81,13,1228.23,1,1,1,111,Others
C0003,Customer_3,Male,11/21/2000,24,UK,6/30/2022,65,14,1725.8,1,1,3,113,Others
C0004,Customer_4,Male,2/14/1991,33,Canada,3/20/2021,57,14,1656.67,2,1,3,213,Others
C0005,Customer_5,Male,1/31/1990,34,USA,1/18/2023,20,15,1492.85,5,2,2,522,New Customers
C0006,Customer_6,Male,10/24/1987,37,Canada,9/30/2021,66,14,1337.8,1,1,2,112,Others
C0007,Customer_7,Male,5/8/1995,29,USA,6/10/2021,46,11,1026.82,2,1,1,211,Others
C0008,Customer_8,Female,2/3/1993,31,UK,11/18/2022,34,29,2480.18,3,5,5,355,Big Spenders
C0009,Customer_9,Female,2/14/2001,23,USA,11/4/2021,23,21,2006.34,5,4,4,544,Loyal Customers
C0010,Customer_10,Female,12/3/1998,26,UK,1/9/2022,18,26,2790.1,5,5,5,555,Champions
C0011,Customer_11,Female,5/15/1997,27,UK,1/3/2023,47,11,1125.7,2,1,1,211,Others
C0012,Customer_12,Male,9/27/1992,32,USA,1/9/2021,71,16,1335.87,1,2,2,122,Others
C0013,Customer_13,Female,11/18/1996,28,USA,3/20/2022,34,30,2277.35,3,5,5,355,Big Spenders
C0014,Customer_14,Male,1/17/1993,31,UK,4/23/2021,27,20,2375.88,4,4,5,445,Loyal Customers
C0015,Customer_15,Male,6/25/1987,37,Canada,7/24/2021,57,22,2323.38,2,5,5,255,At Risk
C0016,Customer_16,Male,12/14/2000,24,USA,2/9/2022,32,21,1422.59,3,5,2,352,Others
C0017,Customer_17,Male,11/7/1993,31,UK,11/29/2022,35,19,1429.47,3,4,2,342,Others
C0018,Customer_18,Male,12/13/1997,27,UK,7/16/2021,19,20,1842.34,5,4,3,543,Loyal Customers
C0019,Customer_19,Male,7/26/1991,33,Canada,2/17/2023,80,21,2574.67,1,4,5,145,At Risk
C0020,Customer_20,Male,12/20/1998,26,USA,2/13/2023,68,19,2063.97,1,3,4,134,Others
C0021,Customer_21,Female,12/20/1993,31,UK,1/30/2023,23,23,2621.98,5,5,5,555,Champions
C0022,Customer_22,Male,11/6/1988,36,Canada,4/25/2021,38,12,1168.94,3,1,1,311,Others
C0023,Customer_23,Female,12/29/1991,33,UK,5/1/2021,27,24,2478.69,4,5,5,455,Loyal Customers
C0024,Customer_24,Female,2/3/2001,23,USA,10/15/2022,39,13,1192.61,3,1,1,311,Others
C0025,Customer_25,Male,9/18/1990,34,Canada,3/6/2021,78,15,2174.2,1,2,4,124,Others
C0026,Customer_26,Male,5/31/1995,29,UK,10/3/2021,54,21,2796.08,2,4,5,245,At Risk
C0027,Customer_27,Female,12/4/1995,29,Canada,8/27/2021,39,20,1898.91,3,4,3,343,Others
C0028,Customer_28,Female,6/30/1988,36,USA,10/29/2021,28,26,2856.89,4,5,5,455,Loyal Customers
C0029,Customer_29,Female,4/28/2001,23,Canada,1/27/2022,30,20,2606.77,4,4,5,445,Loyal Customers
C0030,Customer_30,Female,9/14/1992,32,USA,6/6/2022,178,14,1377.39,1,1,2,112,Others
C0031,Customer_31,Male,8/2/1992,32,UK,1/4/2022,38,20,1666.86,3,4,3,343,Others
C0032,Customer_32,Male,6/1/1999,25,USA,8/21/2021,53,15,2076.63,2,2,4,224,Others
C0033,Customer_33,Male,10/19/1991,33,UK,7/14/2021,32,16,1391.84,3,2,2,322,Others
C0034,Customer_34,Female,6/4/1991,33,UK,1/12/2021,75,15,1216.51,1,2,1,121,Others
C0035,Customer_35,Male,1/24/1992,32,USA,11/20/2022,32,16,1842.34,3,2,3,323,Others
C0036,Customer_36,Female,3/27/1994,30,UK,6/26/2021,29,19,2012.46,4,3,4,434,Others
C0037,Customer_37,Male,5/20/1991,33,Canada,8/5/2021,76,15,1521.87,1,2,2,122,Others
C0038,Customer_38,Female,4/19/1996,28,UK,1/11/2021,25,24,2304.36,4,5,5,455,Loyal Customers
C0039,Customer_39,Male,1/20/1999,25,USA,3/22/2022,98,14,1977.47,1,1,4,114,Others
C0040,Customer_40,Male,11/14/1996,28,Canada,9/22/2022,94,12,1166.75,1,1,1,111,Others
C0041,Customer_41,Female,5/27/1997,27,Canada,6/13/2021,60,19,1978.55,2,3,4,234,Others
C0042,Customer_42,Female,9/10/1988,36,UK,7/5/2022,20,18,2238.48,5,3,5,535,Big Spenders
C0043,Customer_43,Female,2/6/1990,34,UK,2/22/2021,28,23,2229.96,4,5,5,455,Loyal Customers
C0044,Customer_44,Female,12/28/2001,23,USA,8/6/2021,29,16,2018.67,4,2,4,424,Others
C0045,Customer_45,Female,10/16/1992,32,Canada,12/19/2022,25,17,1345.42,4,2,2,422,Others
C0046,Customer_46,Male,5/28/1993,31,USA,12/26/2021,47,20,1810.56,2,4,3,243,At Risk
C0047,Customer_47,Female,7/2/1994,30,UK,1/20/2022,31,24,2387.23,3,5,5,355,Big Spenders
C0048,Customer_48,Male,9/16/1998,26,Canada,2/25/2021,24,26,2480.23,5,5,5,555,Champions
C0049,Customer_49,Male,1/27/1991,33,USA,4/28/2021,28,17,1034.27,4,2,1,421,Others
C0050,Customer_50,Male,9/18/2000,24,USA,9/10/2021,28,17,1840.01,4,3,3,433,Others
C0051,Customer_51,Male,4/7/1991,33,USA,3/9/2023,26,18,1576.88,4,3,2,432,Others
C0052,Customer_52,Male,10/14/1992,32,USA,2/19/2023,23,18,2056.93,5,3,4,534,Others
C0053,Customer_53,Female,11/10/1989,35,USA,6/29/2021,31,19,2095.02,3,4,4,344,Others
C0054,Customer_54,Female,8/28/1993,31,Canada,2/19/2022,24,20,1974.39,4,4,4,444,Loyal Customers
C0055,Customer_55,Male,5/2/1991,33,USA,8/23/2021,26,15,1318,4,2,1,421,Others
C0056,Customer_56,Male,8/1/1990,34,Canada,12/9/2022,24,25,3053.2,4,5,5,455,Loyal Customers
C0057,Customer_57,Female,6/18/2000,24,USA,3/21/2021,30,26,2292,4,5,5,455,Loyal Customers
C0058,Customer_58,Female,8/24/1988,36,UK,10/9/2022,28,13,1339.84,4,1,2,412,Others
C0059,Customer_59,Male,6/9/1991,33,UK,1/22/2021,43,24,2834.96,3,5,5,355,Big Spenders
C0060,Customer_60,Female,5/12/2000,24,USA,4/22/2022,30,17,1893.55,4,3,3,433,Others
C0061,Customer_61,Female,7/13/2001,23,UK,3/16/2022,29,23,1963.38,4,5,4,454,Loyal Customers
C0062,Customer_62,Female,1/19/2000,24,Canada,1/7/2023,25,21,1912.59,4,4,3,443,Loyal Customers
C0063,Customer_63,Male,9/6/2001,23,USA,7/24/2022,43,17,2968.07,3,3,5,335,Big Spenders
C0064,Customer_64,Female,3/20/2001,23,Canada,4/3/2021,22,10,1077.91,5,1,1,511,New Customers
C0065,Customer_65,Male,4/11/1987,37,USA,7/11/2021,100,21,1901.75,1,4,3,143,At Risk
C0066,Customer_66,Male,9/11/1998,26,UK,4/13/2021,24,16,1613.18,4,2,2,422,Others
